R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
318,Moritz Wagner,"PF,C",ORL,30,12.2,0.451(1.7/3.9),0.840(1.2/1.4),0.5,5.2,2.4,0.8,0.5,0.3,0.8,-5.65
319,Denzel Valentine,"SG,SF",CHI,64,15.9,0.374(2.4/6.3),1.000(0.3/0.3),1.2,6.2,3,1.6,0.5,0.1,0.7,-5.66
320,Robin Lopez,C,ORL,34,13.2,0.634(2.6/4.2),0.740(1.0/1.3),0.1,6.3,2.6,0.6,0.1,0.4,0.8,-5.71
321,Sterling Brown,"SG,SF",DAL,50,13.8,0.426(2.0/4.7),0.760(0.6/0.8),0.8,5.3,3.3,1,0.6,0.1,0.8,-5.76
322,Trey Burke,PG,DAL,68,14.7,0.420(2.4/5.7),0.888(0.8/0.9),0.9,6.4,0.9,1.3,0.6,0.1,0.5,-5.79
323,Jalen McDaniels,"PF,C",CHA,44,14.4,0.467(2.2/4.7),0.718(0.8/1.1),0.6,5.7,2.8,0.9,0.5,0.3,0.8,-5.8
324,Frank Kaminsky,C,PHX,50,13.7,0.474(2.3/4.9),0.621(0.7/1.2),0.6,5.9,3.6,1.5,0.3,0.4,0.5,-5.83
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
325,Tony Snell ,"SG,SF",POR,62,17.1,0.527(1.5/2.9),1.000(0.2/0.2),1.1,4.3,2,1.1,0.2,0.2,0.3,-5.83
326,Dean Wade,"PF,C",CLE,55,15.4,0.428(1.6/3.8),0.830(0.4/0.5),0.9,4.6,2.7,0.9,0.4,0.2,0.4,-5.84
327,Abdel Nader,"SF,PF",PHX,64,15.1,0.483(2.1/4.3),0.746(0.9/1.1),0.9,5.9,1.8,0.7,0.4,0.4,0.8,-5.84
328,Tristan Thompson,"PF,C",SAC,71,17.7,0.518(2.3/4.4),0.589(1.0/1.6),0,5.6,6,0.9,0.3,0.4,0.8,-5.86
329,Ziaire Williams,SF,MEM,64,17.8,0.412(3.0/7.3),0.780(0.7/0.9),0.8,7.5,2.2,1,0.6,0.2,1.1,-5.91
330,Yogi Ferrell,"PG,SG",LAC,30,11,0.397(1.6/4.0),0.778(0.6/0.7),0.7,4.5,1.5,1.8,0.6,0.2,0.2,-5.96
331,Boban Marjanovic,C,DAL,44,10.1,0.513(2.3/4.6),0.810(1.1/1.4),0,5.8,4.8,0.4,0.1,0.3,0.5,-5.97
332,Aron Baynes,C,FA,20,16,0.439(2.2/4.9),0.754(0.5/0.7),0.4,5.3,4.5,0.8,0.3,0.3,0.8,-5.97
333,Paul Reed,SF,PHI,40,7.4,0.534(1.7/3.2),0.656(0.2/0.3),0,3.7,2.5,0.5,0.4,0.5,0.5,-6.02
334,Freddie Gillespie,SF,TOR,18,11.1,0.514(1.9/3.7),0.708(0.9/1.2),0,4.7,2.9,0.2,0.4,0.6,0.4,-6.06
335,Drew Eubanks,"PF,C",SAS,30,10,0.563(1.6/2.9),0.753(0.7/1.0),0,4,3.2,0.6,0.2,0.7,0.8,-6.09
336,Jaylen Nowell,SG,MIN,40,13.2,0.424(2.4/5.8),0.849(0.8/0.9),0.9,6.5,1.7,1.1,0.4,0.2,0.5,-6.12
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
337,Chimezie Metu,PF,SAC,45,11,0.500(2.0/4.0),0.753(0.7/1.0),0.3,5.1,2.5,0.7,0.3,0.4,0.7,-6.15
338,Bryn Forbes,"PG,SG",SAS,68,16.1,0.425(2.4/5.7),0.843(0.8/0.9),1.5,7.1,1.3,1.1,0.3,0,0.6,-6.18
339,DeAndre' Bembry,"SF,PF",BRO,10,12.1,0.511(1.5/2.8),0.695(0.6/0.8),0.2,3.7,1.8,1.3,0.6,0.3,0.9,-6.22
340,PJ Dozier ,"PG,SG",DEN,60,17.1,0.422(2.4/5.6),0.618(0.6/1.0),0.7,6,2.8,1.4,0.5,0.3,0.7,-6.23
341,Gary Harris,"SG,SF",ORL,60,22.2,0.381(3.2/8.3),0.794(1.3/1.6),1.1,8.6,1.1,1.6,0.6,0.2,1,-6.26
342,Damion Lee,"SG,SF",GSW,40,11.4,0.479(1.4/2.9),0.875(0.4/0.5),0.8,3.9,1.9,0.8,0.4,0.1,0.3,-6.26
343,Kai Jones,C,CHA,30,15.1,0.548(1.9/3.4),0.577(0.5/0.8),0.1,4.3,2.6,0.1,0.4,0.7,0.8,-6.3
344,Aaron Holiday,PG,WAS,30,14.2,0.414(1.5/3.5),0.803(0.5/0.6),0.6,4,1.2,1.9,0.5,0.2,1,-6.44
345,Willy Hernangomez,C,NOP,40,10.2,0.560(1.8/3.2),0.655(0.7/1.1),0,4.4,4,0.6,0.3,0.3,0.4,-6.44
346,Killian Tillie,C,MEM,30,12,0.403(1.3/3.3),0.797(0.6/0.7),0.7,3.9,1.6,0.5,0.4,0.5,0.1,-6.48
347,Timothe Luwawu-Cabarrot,"SG,SF",FA,62,15.2,0.361(1.8/5.1),0.862(0.5/0.6),1.1,5.4,1.8,1,0.5,0.1,0.6,-6.63
348,Ben McLemore,"SG,SF",POR,58,16.1,0.377(2.5/6.5),0.702(0.7/0.9),1.7,7.3,1.8,0.7,0.4,0.2,0.8,-6.64
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
349,Dario Saric ,"PF,C",PHX,5,10.2,0.456(1.8/3.9),0.858(1.0/1.1),0.5,5,2.2,0.7,0.3,0.1,0.6,-6.66
350,Cody Martin,"SG,SF",CHA,47,10.4,0.379(1.1/2.9),0.667(0.8/1.2),0.6,3.6,2.7,1,0.6,0.2,0.7,-6.76
351,Danuel House Jr.,"SF,PF",HOU,56,17.1,0.408(2.0/5.0),0.610(0.7/1.2),1,5.8,2.4,1.3,0.4,0.3,0.7,-6.78
352,Jevon Carter,PG,BRO,20,8.8,0.423(1.0/2.5),0.806(0.3/0.3),0.7,3,1.2,0.9,0.5,0.2,0.3,-6.8
353,Tyler Johnson,"PG,SG",BRO,40,14.4,0.403(1.6/3.9),1.000(0.4/0.4),1,4.4,1.6,1,0.3,0,0.3,-6.8
354,Michael Carter-Williams ,"PG,SG",ORL,22,15.1,0.391(2.2/5.7),0.614(1.1/1.7),0.3,5.8,3,2.7,0.5,0.3,1.4,-6.82
355,Justise Winslow,PF,LAC,68,20.1,0.358(3.0/8.4),0.569(0.8/1.4),0.4,7,4.6,2,0.6,0.4,1.4,-6.85
356,Romeo Langford,SG,BOS,20,17.1,0.393(1.7/4.2),0.775(0.7/0.9),0.5,4.5,2.5,0.9,0.4,0.3,0.8,-6.88
357,Frank Jackson,PG,DET,60,14.2,0.438(2.4/5.5),0.775(0.9/1.2),0.8,6.5,1.5,1,0.3,0.1,0.8,-6.89
358,Grant Williams,"SF,PF",BOS,60,12.8,0.435(1.3/3.0),0.629(0.4/0.6),0.6,3.6,2.2,0.8,0.4,0.3,0.7,-6.89
359,Grant Riller ,PG,FA,24,7.4,0.647(2.1/3.2),0.000(0.0/0.0),0.6,4.9,0.2,0.8,0.2,0,0.2,-6.93
360,Rodney Hood ,"SG,SF",MIL,60,21.1,0.362(2.1/5.8),0.803(0.5/0.6),0.7,5.5,2.3,1.2,0.5,0.1,0.9,-6.95
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
361,Troy Brown Jr.,"SG,SF",CHI,54,14.5,0.427(1.7/3.9),0.661(0.4/0.6),0.7,4.4,2.9,0.8,0.3,0.2,0.6,-6.97
362,Dylan Windler,SF,CLE,30,10.1,0.428(1.1/2.6),0.782(0.4/0.6),0.5,3.2,2.1,0.7,0.4,0.2,0.6,-6.99
363,Elfrid Payton,PG,PHX,40,14.2,0.439(2.6/5.9),0.706(0.7/1.0),0.2,6.1,2,1.9,0.4,0.1,1,-6.99
364,Edmond Sumner,"PG,SG",IND,38,9.2,0.528(1.6/3.0),0.811(0.7/0.9),0.4,4.2,1,0.5,0.3,0.1,0.6,-7.14
365,Alize Johnson,"SF,PF",CHI,14,8.2,0.493(1.0/2.1),0.667(0.6/0.9),0.2,2.8,4.1,0.6,0.3,0.1,0.6,-7.14
366,Jarrett Culver,"PG,SG",MEM,30,13.1,0.409(1.9/4.7),0.647(0.9/1.3),0.4,5.1,3,0.7,0.5,0.3,0.8,-7.21
367,Garrett Temple,"PG,SG",NOP,40,12.4,0.411(1.3/3.1),0.780(0.3/0.4),0.6,3.5,1.3,1,0.4,0.2,0.5,-7.22
368,Yuta Watanabe ,"SF,PF",TOR,20,9,0.455(1.4/3.0),0.783(0.5/0.7),0.3,3.7,1.9,0.5,0.3,0.2,0.2,-7.23
369,Corey Kispert,"SG,SF",WAS,44,12.4,0.424(2.1/5.0),0.804(0.5/0.6),1.1,5.8,1.4,0.5,0.2,0.1,0.9,-7.28
370,Tre Jones ,PG,SAS,60,10.1,0.474(1.4/2.9),1.000(0.7/0.7),0.1,3.5,0.8,1.5,0.3,0,0.6,-7.3
371,Leandro Bolmaro,SF,MIN,30,10,0.434(1.4/3.1),0.802(0.7/0.8),0.4,3.8,1.1,1.5,0.4,0.1,1.4,-7.34
372,Jahlil Okafor,C,BRO,8,10.4,0.621(1.9/3.0),0.658(0.5/0.7),0.1,4.3,1.9,0.4,0.2,0.2,0.6,-7.52
373,Jalen Johnson,SF,ATL,20,10.1,0.453(1.1/2.5),0.652(0.5/0.7),0.1,2.8,2.8,0.4,0.3,0.4,0.8,-7.52
374,Jock Landale ,C,SAS,40,10.1,0.474(1.9/4.0),0.725(0.5/0.7),0.1,4.4,2.6,0.7,0.2,0.2,0.8,-7.54
375,Marko Simonovic,C,CHI,30,10,0.459(1.5/3.2),0.782(0.7/0.9),0.3,3.9,2.2,0.4,0.2,0.2,0.7,-7.58
376,Miye Oni,SG,UTA,34,10,0.374(1.1/2.9),0.804(0.4/0.5),0.6,3.2,1.6,0.4,0.4,0.2,0.4,-7.6
377,James Johnson ,"PF,C",BRO,30,10.5,0.452(1.2/2.7),0.623(0.4/0.6),0.2,3,1.7,0.7,0.3,0.3,0.4,-7.7
378,Solomon Hill,"SG,SF",ATL,40,12.5,0.359(0.9/2.5),0.707(0.3/0.4),0.6,2.6,1.8,0.6,0.4,0.1,0.4,-7.72
379,Cameron Thomas,SG,BRO,62,16.8,0.411(2.7/6.5),0.838(0.7/0.8),1,7,1.1,0.4,0.2,0.1,1.1,-7.72
380,Zach Collins ,"PF,C",SAS,10,10,0.468(1.1/2.4),0.704(0.2/0.3),0.2,2.6,2.4,0.6,0.2,0.2,0.5,-7.77
381,Semi Ojeleye ,"SF,PF",MIL,58,14,0.401(1.3/3.3),0.673(0.3/0.5),0.8,3.8,2.1,0.6,0.3,0,0.3,-7.85
382,Lamar Stevens,SF,CLE,30,10.1,0.469(1.3/2.7),0.692(0.7/1.0),0.1,3.3,1.9,0.5,0.3,0.2,0.5,-7.89
383,Jake Layman,"SF,PF",MIN,10,10,0.448(1.6/3.6),0.703(0.5/0.6),0.5,4.1,1.1,0.3,0.3,0.2,0.5,-7.9
384,KZ Okpala,SF,MIA,57,14.1,0.386(1.2/3.0),0.489(0.2/0.5),0.4,2.9,2.1,0.6,0.4,0.4,0.5,-7.9
385,Jaden Springer,SG,PHI,28,11,0.418(1.4/3.3),0.804(0.8/1.0),0.2,3.8,1.4,1,0.3,0.1,1,-7.95
386,Anthony Tolliver,"SF,PF",PHI,40,12.5,0.252(0.6/2.2),0.831(0.7/0.8),0.6,2.1,1.3,0.3,0.4,0.3,0.4,-7.97
387,Jared Butler,SG,UTA,30,10,0.417(1.0/2.4),0.750(0.3/0.4),0.7,3,1,1,0.3,0,0.9,-8
388,Bol Bol,"PF,C",DEN,30,8.1,0.444(1.3/2.9),0.608(0.5/0.8),0.5,3.5,1.3,0.3,0.2,0.5,0.6,-8.08
389,Keon Johnson,SF,LAC,20,10,0.413(1.6/3.8),0.678(0.6/0.9),0.3,4.1,1.8,1.1,0.3,0.1,1,-8.12
390,Luka Garza,C,DET,20,10,0.462(1.2/2.6),0.706(0.6/0.9),0.2,3.2,2.5,0.2,0.2,0.2,0.8,-8.12
391,Josh Green,"SG,SF",DAL,58,12.1,0.459(1.2/2.6),0.500(0.3/0.6),0.1,2.8,2.1,0.7,0.4,0.1,0.4,-8.15
392,Rodney McGruder ,"SG,SF",DET,10,10,0.459(0.8/1.8),0.633(0.2/0.3),0.3,2.1,1.7,0.5,0.3,0.1,0.3,-8.16
393,Trey Lyles,"PF,C",DET,30,8,0.455(1.0/2.2),0.714(0.3/0.4),0.2,2.5,2.5,0.3,0.1,0.1,0.2,-8.16
394,Rondae Hollis-Jefferson,"SF,PF",FA,40,11.1,0.503(0.9/1.8),0.535(0.9/1.7),0,2.9,2.8,1.4,0.2,0.5,0.2,-8.19
395,Juancho Hernangomez,"PF,C",MEM,10,8.1,0.432(1.5/3.4),0.627(0.7/1.1),0.6,4.2,2.3,0.4,0.2,0.1,0.3,-8.21
396,Sekou Doumbouya,"SF,PF",BRO,20,8,0.446(1.3/2.9),0.719(0.5/0.6),0.3,3.3,1.5,0.5,0.2,0.1,0.5,-8.27
397,Damyean Dotson,SG,CLE,40,12.4,0.406(1.6/4.0),0.620(0.3/0.5),0.6,4.2,1.3,1.3,0.2,0.1,0.6,-8.28
398,Miles McBride,PG,NYK,22,10,0.419(1.1/2.7),0.755(0.4/0.5),0.2,2.8,1.1,0.9,0.3,0.1,0.7,-8.33
399,Wes Iwundu,"SG,SF",CHA,20,8.4,0.421(0.8/2.0),0.825(0.7/0.8),0.2,2.5,1.1,0.5,0.2,0.1,0.2,-8.35
400,Luka Samanic,PF,SAS,45,10.2,0.438(1.5/3.5),0.551(0.5/1.0),0.4,4,2.3,0.5,0.2,0.2,0.7,-8.38
